r (km)   P (dyn/cm^2)   M/M_solar   rho (g/cm^3)   g_{tt}   g_{rr}   n_b (fm^{-3})   A_eq   A   Z_eq   Z   n_e (fm^{-3})   n_n(n_nf) (fm^{-3})   mu_n(mu_nf) (MeV)  drho/dr (kg/m^4)   dn_e/dr (fm^{-3}/m)
11.6151   2.6390737e+32   1.38900341   9.59560028e+13   -0.657670928   1.54602053   0.0568458908   1220.8441   222.198451   40   39.7557271   0.00186251105   0.04648834   949.861203   -5.48179189e+14   -9.79982862e-06
11.6176   2.58850953e+32   1.38920651   9.45903427e+13   -0.657709653   1.54596229   0.056039407   1219.42062   223.106546   40   39.7817427   0.00183823058   0.045776345   949.80824   -5.44450169e+14   -9.62889011e-06
11.6201   2.53868656e+32   1.3894068   9.3233752e+13   -0.657748366   1.54590236   0.0552382283   1217.79641   223.947094   40   39.804526   0.0018143666   0.0450713086   949.75536   -5.409013e+14   -9.46633906e-06
11.6226   2.48959965e+32   1.38960429   9.18858362e+13   -0.657787067   1.54584077   0.0544421223   1215.97311   224.721107   40   39.824545   0.00179089889   0.0443729473   949.702531   -5.37507143e+14   -9.31189697e-06
11.6251   2.44124387e+32   1.389799   9.05462163e+13   -0.657825756   1.54577752   0.0536508663   1213.95294   225.429528   40   39.8421893   0.00176780711   0.0436809937   949.649722   -5.34250001e+14   -9.16539815e-06
11.6276   2.39361447e+32   1.38999094   8.92145861e+13   -0.657864433   1.54571262   0.0528642801   1211.73873   226.073244   40   39.8577848   0.0017450719   0.042995224   949.596904   -5.31096466e+14   -9.02638507e-06
11.6301   2.34670682e+32   1.39018013   8.78907339e+13   -0.657903098   1.54564608   0.0520822392   1209.33394   226.653107   40   39.8716049   0.00172267519   0.0423154675   949.544054   -5.28024659e+14   -8.89458136e-06
11.6326   2.30051642e+32   1.39036657   8.65744629e+13   -0.657941751   1.54557792   0.051304628   1206.74253   227.17   40   39.8838812   0.00170059899   0.0416415644   949.491147   -5.2501052e+14   -8.76965851e-06
11.6351   2.25503882e+32   1.39055029   8.52656813e+13   -0.657980391   1.54550813   0.0505313931   1203.96911   227.624819   40   39.89481   0.0016788269   0.0409734115   949.438163   -5.22027551e+14   -8.65122902e-06
11.6376   2.21026964e+32   1.39073129   8.39643251e+13   -0.65801902   1.54543674   0.0497624971   1201.01878   228.018518   40   39.9045591   0.00165734284   0.0403109211   949.385084   -5.19056649e+14   -8.53901346e-06
11.6401   2.16620449e+32   1.3909096   8.26703981e+13   -0.658057636   1.54536376   0.0489979427   1197.89718   228.352109   40   39.9132721   0.00163613183   0.0396540414   949.331894   -5.16073199e+14   -8.43262231e-06
11.6426   2.12283896e+32   1.39108522   8.13839591e+13   -0.658096239   1.54528918   0.0482377653   1194.61046   228.626676   40   39.9210726   0.00161517973   0.0390027489   949.278579   -5.13058765e+14   -8.33174907e-06
11.6451   2.08016863e+32   1.39125817   8.01051043e+13   -0.658134829   1.54521302   0.0474820221   1191.16522   228.843382   40   39.9280673   0.00159447308   0.0383570394   949.225125   -5.10011222e+14   -8.23583507e-06
11.64635   2.05909207e+32   1.39134364   7.94685469e+13   -0.658154119   1.54517436   0.0471058289   1189.38528   228.930426   40   39.931292   0.00158420756   0.0380362749   949.198343   -5.08462229e+14   -8.18970429e-06
11.6476   2.0381876e+32   1.39142846   7.88339487e+13   -0.658173405   1.5451353   0.0467307816   1187.5684   229.003478   40   39.9343491   0.00157399882   0.0377169182   949.171523   -5.06887044e+14   -8.14487563e-06
11.64885   2.01745467e+32   1.39151262   7.82013293e+13   -0.658192689   1.54509585   0.0463568922   1185.7155   229.062708   40   39.9372481   0.00156384537   0.0373989725   949.144664   -5.05292433e+14   -8.1012006e-06
11.6501   1.99689268e+32   1.39159611   7.75707176e+13   -0.658211969   1.54505602   0.0459841775   1183.82754   229.10829   40   39.9399982   0.00155374582   0.0370824456   949.117764   -5.03673536e+14   -8.05858959e-06
11.65135   1.97650104e+32   1.39167895   7.69421455e+13   -0.658231245   1.5450158   0.0456126566   1181.90553   229.140406   40   39.9426079   0.00154369889   0.036767347   949.090825   -5.02028705e+14   -8.01700334e-06
11.6526   1.95627915e+32   1.39176114   7.63156458e+13   -0.658250519   1.54497519   0.045242349   1179.95048   229.159241   40   39.9450851   0.00153370331   0.0364536863   949.063844   -5.00358318e+14   -7.97643328e-06
11.65385   1.9362264e+32   1.39184267   7.56912497e+13   -0.658269789   1.5449342   0.044873273   1177.96339   229.164985   40   39.9474371   0.00152375781   0.0361414723   949.036822   -4.98661191e+14   -7.93684426e-06
11.6551   1.91634218e+32   1.39192355   7.50689929e+13   -0.658289056   1.54489283   0.04450545   1175.94532   229.157837   40   39.9496711   0.0015138612   0.0358307162   949.009757   -4.96934135e+14   -7.89816773e-06
11.65635   1.89662585e+32   1.39200378   7.44489143e+13   -0.65830832   1.54485107   0.0441389029   1173.89732   229.137997   40   39.9517935   0.00150401239   0.0355214307   948.98265   -4.95175551e+14   -7.86035902e-06
