r (km)   P (dyn/cm^2)   M/M_solar   rho (g/cm^3)   g_{tt}   g_{rr}   n_b (fm^{-3})   A_eq   A   Z_eq   Z   n_e (fm^{-3})   n_n(n_nf) (fm^{-3})   mu_n(mu_nf) (MeV)  drho/dr (kg/m^4)   dn_e/dr (fm^{-3}/m)
11.93385   1.13409403e+31   1.39949967   7.68549869e+12   -0.662490944   1.52985279   0.00457830502   686.246352   162.53335   40   39.9987677   0.000266860728   0.0034939526   943.076111   -7.86546012e+13   -1.78071488e-06
11.9351   1.1150186e+31   1.39950826   7.587596e+12   -0.662509329   1.52977287   0.00452007152   683.194145   162.253766   40   39.998778   0.000264643458   0.0034465785   943.050874   -7.79921643e+13   -1.76697225e-06
11.93635   1.09619167e+31   1.39951674   7.49051828e+12   -0.662527709   1.52969292   0.00446232741   680.120614   161.974391   40   39.9987881   0.000262443297   0.00339959213   943.025636   -7.73345299e+13   -1.75333804e-06
11.9376   1.07761106e+31   1.39952512   7.39425968e+12   -0.662546085   1.52961293   0.00440506923   677.025639   161.695232   40   39.9987982   0.000260260113   0.00335299093   943.000396   -7.66814775e+13   -1.73980802e-06
11.93885   1.0592746e+31   1.39953339   7.29881459e+12   -0.662564457   1.5295329   0.00434829367   673.909106   161.4163   40   39.9988083   0.000258093777   0.00330677242   942.975154   -7.60330386e+13   -1.72638364e-06
11.9401   1.04118014e+31   1.39954156   7.20417708e+12   -0.662582825   1.52945284   0.00429199722   670.770893   161.137601   40   39.9988183   0.000255944154   0.00326093398   942.94991   -7.53893136e+13   -1.71306795e-06
11.94135   1.02332555e+31   1.39954962   7.1103413e+12   -0.662601188   1.52937274   0.00423617641   667.610879   160.859145   40   39.9988282   0.000253811107   0.00321547304   942.924663   -7.47502237e+13   -1.69985991e-06
11.9426   1.00570871e+31   1.39955758   7.01730152e+12   -0.662619548   1.52929261   0.00418082787   664.428949   160.580941   40   39.9988381   0.000251694504   0.00317038705   942.899413   -7.41154853e+13   -1.68675381e-06
11.94385   9.8832752e+30   1.39956543   6.92505259e+12   -0.662637903   1.52921244   0.00412594855   661.225008   160.303001   40   39.9988479   0.000249594223   0.00312567379   942.874161   -7.34850175e+13   -1.67374854e-06
11.9451   9.71179895e+30   1.39957318   6.83358898e+12   -0.662656254   1.52913224   0.00407153518   657.998949   160.025335   40   39.9988577   0.000247510133   0.00308133081   942.848906   -7.28589941e+13   -1.66084879e-06
11.94635   9.54263761e+30   1.39958084   6.7429051e+12   -0.6626746   1.52905201   0.00401758445   654.750663   159.747955   40   39.9988674   0.000245442101   0.00303735566   942.823648   -7.22373867e+13   -1.64805463e-06
11.9476   9.37577062e+30   1.39958839   6.65299551e+12   -0.662692943   1.52897174   0.00396409316   651.480048   159.470872   40   39.9988771   0.000243389996   0.00299374595   942.798387   -7.16198807e+13   -1.63535962e-06
11.94885   9.21117756e+30   1.39959584   6.5638554e+12   -0.662711281   1.52889144   0.00391105845   648.187025   159.194099   40   39.9988867   0.000241353702   0.0029504996   942.773122   -7.10063929e+13   -1.62276257e-06
11.9501   9.04883815e+30   1.39960319   6.47547953e+12   -0.662729615   1.52881111   0.00385847723   644.871502   158.917651   40   39.9988962   0.00023933309   0.00290761431   942.747854   -7.03971393e+13   -1.61026913e-06
11.95135   8.88873226e+30   1.39961045   6.38786255e+12   -0.662747945   1.52873075   0.00380634633   641.533384   158.641541   40   39.9989058   0.000237328029   0.00286508774   942.722583   -6.97920234e+13   -1.59787781e-06
11.9526   8.73083988e+30   1.39961761   6.30099947e+12   -0.66276627   1.52865036   0.00375466281   638.172588   158.365782   40   39.9989152   0.000235338395   0.00282291771   942.697308   -6.91907196e+13   -1.58558185e-06
11.95385   8.57514118e+30   1.39962467   6.21488575e+12   -0.662784592   1.52856994   0.00370342399   634.789053   158.090392   40   39.9989246   0.000233364074   0.00278110227   942.67203   -6.85932812e+13   -1.57338319e-06
11.9551   8.42161643e+30   1.39963164   6.12951627e+12   -0.662802909   1.52848948   0.00365262683   631.382697   157.815386   40   39.998934   0.000231404937   0.00273963918   942.646747   -6.79999161e+13   -1.56128728e-06
11.95635   8.27024604e+30   1.39963851   6.04488596e+12   -0.662821222   1.528409   0.00360226835   627.95344   157.540779   40   39.9989433   0.000229460856   0.00269852624   942.621461   -6.74102639e+13   -1.54928658e-06
11.9576   8.12101056e+30   1.39964529   5.96099061e+12   -0.66283953   1.52832849   0.00355234604   624.501239   157.26659   40   39.9989526   0.000227531721   0.00265776163   942.59617   -6.68242193e+13   -1.53737934e-06
11.95885   7.97389069e+30   1.39965198   5.87782542e+12   -0.662857835   1.52824795   0.00350285707   621.02603   156.992837   40   39.9989618   0.000225617408   0.0026173433   942.570875   -6.62420645e+13   -1.52557275e-06
11.9601   7.82886722e+30   1.39965857   5.79538545e+12   -0.662876135   1.52816739   0.00345379854   617.527745   156.719537   40   39.998971   0.000223717789   0.00257726908   942.545576   -6.5663518e+13   -1.51386104e-06
11.96135   7.68592109e+30   1.39966508   5.71366662e+12   -0.662894431   1.52808679   0.00340516802   614.006352   156.446712   40   39.9989802   0.000221832755   0.00253753724   942.520273   -6.50883978e+13   -1.5022407e-06
11.9626   7.54503337e+30   1.39967149   5.63266445e+12   -0.662912723   1.52800617   0.00335696286   610.461808   156.17438   40   39.9989893   0.000219962187   0.00249814585   942.494965   -6.45169857e+13   -1.49071892e-06
11.96385   7.40618523e+30   1.39967781   5.55237416e+12   -0.66293101   1.52792553   0.00330918024   606.894058   155.902562   40   39.9989983   0.000218105958   0.00245909284   942.469652   -6.39490192e+13   -1.47929035e-06
11.9651   7.269358e+30   1.39968404   5.4727919e+12   -0.662949294   1.52784485   0.00326181789   603.303089   155.631281   40   39.9990074   0.000216263961   0.00242037659   942.444335   -6.33843359e+13   -1.4679519e-06
11.96635   7.1345331e+30   1.39969019   5.39391332e+12   -0.662967573   1.52776415   0.00321487323   599.68887   155.360559   40   39.9990163   0.000214436078   0.00238199524   942.419013   -6.28232158e+13   -1.45671077e-06
11.9676   7.00169207e+30   1.39969625   5.31573386e+12   -0.662985848   1.52768343   0.00316834358   596.051365   155.090417   40   39.9990253   0.000212622184   0.00234394682   942.393686   -6.22653267e+13   -1.44555994e-06
11.96885   6.87081659e+30   1.39970222   5.23825e+12   -0.663004118   1.52760268   0.00312222684   592.390586   154.820882   40   39.9990342   0.000210822178   0.00230622986   942.368354   -6.17106359e+13   -1.43449935e-06
11.9701   6.74188842e+30   1.3997081   5.16145727e+12   -0.663022385   1.52752191   0.00307652039   588.706506   154.551976   40   39.999043   0.000209035936   0.00226884246   942.343017   -6.11593186e+13   -1.42353376e-06
11.97135   6.61488947e+30   1.3997139   5.0853517e+12   -0.663040647   1.52744111   0.00303122186   584.999123   154.283725   40   39.9990519   0.000207263344   0.00223178293   942.317675   -6.061103e+13   -1.41265585e-06
11.9726   6.48980173e+30   1.39971962   5.0099297e+12   -0.663058905   1.5273603   0.00298632914   581.268459   154.016156   40   39.9990607   0.000205504296   0.00219504977   942.292328   -6.00659358e+13   -1.40187018e-06
11.97385   6.36660732e+30   1.39972525   4.93518686e+12   -0.663077159   1.52727945   0.00294183963   577.5145   153.749295   40   39.9990694   0.000203758668   0.0021586411   942.266975   -5.95238944e+13   -1.39117415e-06
11.9751   6.24528847e+30   1.39973079   4.86111996e+12   -0.663095409   1.52719859   0.00289775143   573.737292   153.483171   40   39.9990781   0.000202026361   0.00212255561   942.241617   -5.89848117e+13   -1.38056625e-06
11.97635   6.1258275e+30   1.39973626   4.78772483e+12   -0.663113654   1.5271177   0.00285406206   569.93684   153.217811   40   39.9990868   0.000200307253   0.00208679152   942.216254   -5.84487913e+13   -1.37004962e-06
11.9776   6.00820685e+30   1.39974164   4.71499799e+12   -0.663131895   1.52703679   0.00281076947   566.113186   152.953245   40   39.9990955   0.000198601237   0.00205134739   942.190885   -5.79155909e+13   -1.35961928e-06
11.97885   5.89240906e+30   1.39974695   4.64293586e+12   -0.663150132   1.52695587   0.00276787156   562.266376   152.689504   40   39.9991041   0.000196908204   0.00201622175   942.16551   -5.73853492e+13   -1.3492792e-06
11.9801   5.77841677e+30   1.39975217   4.57153461e+12   -0.663168365   1.52687492   0.00272536606   558.396442   152.426617   40   39.9991127   0.000195228039   0.00198141299   942.14013   -5.68578682e+13   -1.33902542e-06
11.98135   5.66621272e+30   1.39975731   4.50079119e+12   -0.663186593   1.52679395   0.00268325115   554.503465   152.164617   40   39.9991212   0.000193560641   0.00194691988   942.114745   -5.63331896e+13   -1.32885966e-06
11.9826   5.55577974e+30   1.39976238   4.43070164e+12   -0.663204817   1.52671296   0.00264152452   550.587483   151.903536   40   39.9991297   0.00019190589   0.00191274076   942.089353   -5.5811219e+13   -1.3187804e-06
11.98385   5.44710079e+30   1.39976736   4.36126314e+12   -0.663223037   1.52663195   0.00260018448   546.648598   151.643409   40   39.9991382   0.00019026369   0.00187887452   942.063956   -5.52919287e+13   -1.30878771e-06
11.9851   5.34015888e+30   1.39977227   4.29247182e+12   -0.663241253   1.52655092   0.00255922876   542.686862   151.384268   40   39.9991467   0.00018863392   0.00184531954   942.038553   -5.4775266e+13   -1.29888105e-06
11.98635   5.23493715e+30   1.3997771   4.22432497e+12   -0.663259465   1.52646987   0.00251865576   538.702399   151.126149   40   39.9991551   0.000187016487   0.00181207477   942.013145   -5.42621971e+13   -1.28908204e-06
11.986975   5.18296438e+30   1.39977949   4.19049088e+12   -0.663268569   1.52642934   0.00249851138   536.701596   150.99748   40   39.9991593   0.000186212331   0.00179556765   942.000438   -5.40066812e+13   -1.2842161e-06
11.9876   5.13141539e+30   1.39978186   4.15681662e+12   -0.663277672   1.52638881   0.00247846193   534.695143   150.869079   40   39.9991635   0.000185411217   0.00177913757   941.987729   -5.37511401e+13   -1.27935699e-06
11.988225   5.08028809e+30   1.39978421   4.12330195e+12   -0.663286773   1.52634827   0.00245850725   532.683063   150.740952   40   39.9991677   0.000184613135   0.00176278442   941.975019   -5.34961612e+13   -1.27451767e-06
11.98885   5.0295804e+30   1.39978654   4.08994642e+12   -0.663295874   1.52630773   0.00243864709   530.665367   150.613103   40   39.9991719   0.00018381807   0.00174650804   941.962308   -5.32419948e+13   -1.26970422e-06
11.989475   4.97929025e+30   1.39978885   4.05674946e+12   -0.663304974   1.52626718   0.00241888109   528.642058   150.485537   40   39.9991761   0.000183026005   0.00173030816   941.949595   -5.29885119e+13   -1.26491364e-06
11.9901   4.92941558e+30   1.39979115   4.02371078e+12   -0.663314073   1.52622663   0.00239920911   526.613159   150.358257   40   39.9991802   0.000182236928   0.0017141847   941.936881   -5.2735464e+13   -1.26014012e-06
11.990725   4.87995432e+30   1.39979342   3.99083013e+12   -0.66332317   1.52618607   0.00237963097   524.578693   150.231271   40   39.9991844   0.000181450829   0.00169813756   941.924165   -5.24828974e+13   -1.25538483e-06
11.99135   4.83090442e+30   1.39979568   3.95810716e+12   -0.663332267   1.52614551   0.00236014649   522.538679   150.104582   40   39.9991885   0.000180667697   0.0016821666   941.911448   -5.22310686e+13   -1.25065399e-06
11.991975   4.78226383e+30   1.39979792   3.92554129e+12   -0.663341362   1.52610495   0.00234075532   520.493122   149.978195   40   39.9991927   0.000179887512   0.00166627158   941.89873   -5.19799653e+13   -1.24594742e-06
11.9926   4.7340305e+30   1.39980014   3.8931322e+12   -0.663350457   1.52606438   0.00232145726   518.442043   149.852114   40   39.9991968   0.000179110263   0.00165045238   941.886009   -5.17293316e+13   -1.24125909e-06
11.993225   4.68620238e+30   1.39980234   3.86087963e+12   -0.66335955   1.52602381   0.00230225216   516.385466   149.726345   40   39.999201   0.000178335938   0.0016347089   941.873288   -5.14791335e+13   -1.23658826e-06
11.99385   4.63877746e+30   1.39980453   3.82878329e+12   -0.663368642   1.52598323   0.00228313986   514.323418   149.600894   40   39.9992051   0.000177564527   0.00161904104   941.860565   -5.12295176e+13   -1.23193853e-06
11.994475   4.59175369e+30   1.39980669   3.79684273e+12   -0.663377734   1.52594265   0.00226412009   512.255911   149.475764   40   39.9992092   0.000176796015   0.00160344861   941.84784   -5.09806303e+13   -1.22731353e-06
11.9951   4.54512906e+30   1.39980884   3.7650575e+12   -0.663386824   1.52590207   0.00224519258   510.182961   149.350961   40   39.9992133   0.000176030385   0.00158793144   941.835114   -5.07323229e+13   -1.22270978e-06
11.995725   4.49890154e+30   1.39981097   3.73342733e+12   -0.663395913   1.52586148   0.00222635718   508.104595   149.22649   40   39.9992174   0.000175267628   0.00157248942   941.822387   -5.04844467e+13   -1.21812379e-06
11.99635   4.45306911e+30   1.39981309   3.70195194e+12   -0.663405001   1.52582089   0.00220761371   506.020839   149.102357   40   39.9992215   0.000174507731   0.00155712247   941.809658   -5.023701e+13   -1.21355585e-06
11.996975   4.40762978e+30   1.39981518   3.67063106e+12   -0.663414088   1.52578029   0.00218896202   503.931722   148.978566   40   39.9992256   0.000173750683   0.00154183047   941.796928   -4.99901736e+13   -1.20900992e-06
11.9976   4.36258152e+30   1.39981726   3.63946422e+12   -0.663423174   1.52573969   0.00217040183   501.837258   148.855123   40   39.9992297   0.000172996468   0.00152661324   941.784196   -4.97440109e+13   -1.2044879e-06
11.998225   4.31792236e+30   1.39981932   3.60845105e+12   -0.663432259   1.52569909   0.00215193293   499.73747   148.732033   40   39.9992338   0.000172245073   0.00151147063   941.771463   -4.94983571e+13   -1.19998588e-06
11.99885   4.27365028e+30   1.39982136   3.57759128e+12   -0.663441343   1.52565848   0.00213355514   497.632387   148.609301   40   39.9992379   0.000171496486   0.00149640255   941.758728   -4.92531296e+13   -1.19550195e-06
11.999475   4.2297633e+30   1.39982339   3.54688464e+12   -0.663450426   1.52561787   0.00211526833   495.52204   148.486933   40   39.999242   0.000170750696   0.00148140891   941.745992   -4.90083316e+13   -1.19103629e-06
12.0001   4.18625943e+30   1.3998254   3.51633086e+12   -0.663459508   1.52557726   0.00209707232   493.40646   148.364934   40   39.999246   0.000170007691   0.00146648962   941.733255   -4.87640668e+13   -1.1865915e-06
12.000725   4.14313669e+30   1.39982739   3.48592955e+12   -0.663468588   1.52553664   0.00207896688   491.285668   148.24331   40   39.9992501   0.000169267456   0.00145164451   941.720516   -4.85204275e+13   -1.18216993e-06
12.00135   4.10039311e+30   1.39982936   3.45568033e+12   -0.663477668   1.52549602   0.0020609518   489.15969   148.122066   40   39.9992541   0.000168529978   0.00143687344   941.707776   -4.82773031e+13   -1.17776899e-06
12.001975   4.05802671e+30   1.39983132   3.42558293e+12   -0.663486747   1.5254554   0.0020430269   487.028557   148.001207   40   39.9992582   0.000167795245   0.00142217632   941.695035   -4.80345941e+13   -1.17338634e-06
12.0026   4.01603553e+30   1.39983326   3.39563709e+12   -0.663495824   1.52541477   0.00202519205   484.892304   147.880739   40   39.9992622   0.000167063245   0.00140755306   941.682292   -4.77923019e+13   -1.16902211e-06
12.003225   3.9744176e+30   1.39983518   3.36584255e+12   -0.663504901   1.52537414   0.00200744708   482.750965   147.760668   40   39.9992663   0.000166333967   0.00139300358   941.669547   -4.75504387e+13   -1.16467668e-06
12.00385   3.93317097e+30   1.39983709   3.33619904e+12   -0.663513976   1.52533351   0.00198979184   480.604574   147.640999   40   39.9992703   0.000165607399   0.00137852777   941.656802   -4.7309117e+13   -1.1603529e-06
12.004475   3.89229367e+30   1.39983898   3.30670615e+12   -0.663523051   1.52529288   0.00197222609   478.453156   147.521738   40   39.9992743   0.000164883526   0.00136412549   941.644055   -4.7068347e+13   -1.15605113e-06
12.0051   3.85178377e+30   1.39984086   3.2773636e+12   -0.663532124   1.52525224   0.00195474965   476.296746   147.402891   40   39.9992784   0.000164162336   0.00134979662   941.631307   -4.68280068e+13   -1.15176848e-06
12.005725   3.81163931e+30   1.39984271   3.24817114e+12   -0.663541196   1.52521159   0.00193736239   474.13538   147.284462   40   39.9992824   0.000163443816   0.0013355411   941.618557   -4.6588065e+13   -1.14750425e-06
12.00635   3.77185836e+30   1.39984455   3.21912852e+12   -0.663550268   1.52517095   0.00192006415   471.969097   147.166458   40   39.9992864   0.000162727955   0.00132135883   941.605806   -4.63485209e+13   -1.14325853e-06
12.006975   3.73243897e+30   1.39984638   3.19023549e+12   -0.663559338   1.5251303   0.00190285479   469.797937   147.048885   40   39.9992904   0.000162014743   0.00130724974   941.593054   -4.61093743e+13   -1.1390314e-06
12.0076   3.69337922e+30   1.39984819   3.1614918e+12   -0.663568407   1.52508965   0.00188573417   467.621938   146.931748   40   39.9992944   0.000161304166   0.00129321375   941.580301   -4.58706872e+13   -1.13482448e-06
12.008225   3.65467717e+30   1.39984998   3.13289713e+12   -0.663577475   1.525049   0.00186870208   465.441136   146.815052   40   39.9992984   0.000160596212   0.00127925073   941.567546   -4.56324991e+13   -1.13063884e-06
12.00885   3.61633089e+30   1.39985176   3.10445118e+12   -0.663586542   1.52500834   0.00185175836   463.255567   146.698805   40   39.9993024   0.000159890867   0.00126536059   941.55479   -4.53947357e+13   -1.12647275e-06
12.009475   3.57833848e+30   1.39985352   3.07615371e+12   -0.663595608   1.52496768   0.00183490287   461.065274   146.58301   40   39.9993064   0.000159188121   0.00125154326   941.542033   -4.51573444e+13   -1.122325e-06
12.0101   3.540698e+30   1.39985526   3.0480045e+12   -0.663604673   1.52492702   0.00181813546   458.870302   146.467674   40   39.9993104   0.000158487961   0.00123779865   941.529275   -4.49203231e+13   -1.11819562e-06
12.010725   3.50340755e+30   1.39985699   3.02000331e+12   -0.663613737   1.52488635   0.00180145602   456.670694   146.352804   40   39.9993144   0.000157790376   0.00122412671   941.516516   -4.46836691e+13   -1.11408463e-06
12.01135   3.46646521e+30   1.3998587   2.99214991e+12   -0.6636228   1.52484569   0.00178486439   454.466496   146.238403   40   39.9993183   0.000157095355   0.00121052737   941.503756   -4.44473794e+13   -1.10999204e-06
12.011975   3.42986909e+30   1.3998604   2.96444409e+12   -0.663631861   1.52480502   0.00176836046   452.257755   146.12448   40   39.9993223   0.000156402886   0.00119700055   941.490995   -4.42114699e+13   -1.10591834e-06
12.0126   3.39361727e+30   1.39986208   2.93688558e+12   -0.663640922   1.52476434   0.00175194406   450.044516   146.011038   40   39.9993263   0.000155712957   0.00118354618   941.478232   -4.39759828e+13   -1.10186468e-06
12.013225   3.35770786e+30   1.39986375   2.90947411e+12   -0.663649982   1.52472367   0.00173561505   447.826822   145.898084   40   39.9993302   0.000155025556   0.00117016416   941.465469   -4.37408901e+13   -1.09783045e-06
12.01385   3.32213896e+30   1.3998654   2.88220946e+12   -0.66365904   1.52468299   0.00171937328   445.604723   145.785623   40   39.9993342   0.000154340669   0.00115685444   941.452704   -4.35061341e+13   -1.0938143e-06
12.014475   3.28690868e+30   1.39986703   2.85509144e+12   -0.663668098   1.52464231   0.00170321864   443.37827   145.673662   40   39.9993382   0.000153658288   0.00114361697   941.439939   -4.3271708e+13   -1.08981613e-06
12.0151   3.25201513e+30   1.39986865   2.82811983e+12   -0.663677154   1.52460163   0.00168715102   441.147516   145.562205   40   39.9993421   0.000152978399   0.00113045168   941.427173   -4.3037607e+13   -1.08583592e-06
12.015725   3.21745643e+30   1.39987026   2.80129443e+12   -0.66368621   1.52456095   0.00167117029   438.912513   145.451259   40   39.9993461   0.000152300993   0.00111735852   941.414406   -4.2803826e+13   -1.08187361e-06
12.01635   3.18323069e+30   1.39987185   2.77461505e+12   -0.663695264   1.52452026   0.00165527633   436.673315   145.340828   40   39.99935   0.000151626057   0.00110433744   941.401638   -4.25703598e+13   -1.07792916e-06
12.016975   3.14933604e+30   1.39987342   2.74808148e+12   -0.663704318   1.52447957   0.00163946903   434.429979   145.23092   40   39.9993539   0.000150953581   0.0010913884   941.388869   -4.23372027e+13   -1.0740025e-06
12.0176   3.11577059e+30   1.39987498   2.72169354e+12   -0.66371337   1.52443888   0.00162374828   432.18256   145.121539   40   39.9993579   0.000150283554   0.00107851135   941.3761   -4.2104351e+13   -1.07009362e-06
12.018225   3.08253248e+30   1.39987653   2.69545104e+12   -0.663722421   1.52439819   0.00160811397   429.931117   145.012691   40   39.9993618   0.000149615964   0.00106570624   941.36333   -4.18718213e+13   -1.06620303e-06
12.01885   3.04961984e+30   1.39987806   2.66935377e+12   -0.663731471   1.52435749   0.00159256596   427.675705   144.904381   40   39.9993657   0.0001489508   0.00105297302   941.350559   -4.16396067e+13   -1.06233063e-06
12.019475   3.0170308e+30   1.39987957   2.64340153e+12   -0.663740521   1.5243168   0.00157710417   425.416386   144.796614   40   39.9993697   0.000148288051   0.00104031164   941.337788   -4.14076725e+13   -1.05847561e-06
12.0201   2.98476349e+30   1.39988108   2.61759418e+12   -0.663749569   1.5242761   0.00156172848   423.153221   144.689397   40   39.9993736   0.000147627706   0.00102772208   941.325016   -4.11760048e+13   -1.0546377e-06
12.020725   2.95281606e+30   1.39988256   2.59193153e+12   -0.663758616   1.5242354   0.0015464388   420.886274   144.582733   40   39.9993775   0.000146969754   0.0010152043   941.312243   -4.09445965e+13   -1.05081678e-06
12.02135   2.92118664e+30   1.39988403   2.56641343e+12   -0.663767662   1.52419469   0.00153123504   418.61561   144.47663   40   39.9993814   0.000146314185   0.00100275827   941.299471   -4.07134404e+13   -1.04701274e-06
12.021975   2.88987339e+30   1.39988549   2.54103973e+12   -0.663776707   1.52415399   0.00151611711   416.341295   144.371091   40   39.9993853   0.000145660988   0.000990383977   941.286698   -4.04825291e+13   -1.04322545e-06
12.0226   2.85887444e+30   1.39988694   2.51581027e+12   -0.66378575   1.52411328   0.00150108491   414.063397   144.266122   40   39.9993892   0.000145010153   0.000978081389   941.273924   -4.02518546e+13   -1.03945478e-06
12.023225   2.82818795e+30   1.39988836   2.49072491e+12   -0.663794793   1.52407258   0.00148613837   411.781985   144.161727   40   39.9993931   0.000144361669   0.000965850489   941.261151   -4.00214087e+13   -1.03570058e-06
12.02385   2.79781207e+30   1.39988978   2.46578351e+12   -0.663803835   1.52403187   0.0014712774   409.49713   144.057913   40   39.9993971   0.000143715527   0.000953691261   941.248377   -3.97911832e+13   -1.0319627e-06
12.024475   2.76774496e+30   1.39989118   2.44098593e+12   -0.663812876   1.52399116   0.00145650192   407.208905   143.954683   40   39.999401   0.000143071716   0.000941603691   941.235603   -3.95611695e+13   -1.02824097e-06
12.0251   2.73798476e+30   1.39989257   2.41633205e+12   -0.663821915   1.52395044   0.00144181186   404.917384   143.852042   40   39.9994048   0.000142430226   0.00092958777   941.222829   -3.93313588e+13   -1.02453521e-06
12.025725   2.70852965e+30   1.39989394   2.39182173e+12   -0.663830954   1.52390973   0.00142720715   402.622641   143.749996   40   39.9994087   0.000141791047   0.000917643492   941.210055   -3.91017422e+13   -1.02084525e-06
12.02635   2.67937777e+30   1.3998953   2.36745487e+12   -0.663839992   1.52386901   0.00141268771   400.324755   143.648547   40   39.9994126   0.000141154169   0.000905770852   941.197282   -3.88723105e+13   -1.0171709e-06
12.026975   2.65052731e+30   1.39989665   2.34323134e+12   -0.663849028   1.5238283   0.00139825348   398.023805   143.547702   40   39.9994165   0.000140519583   0.000893969851   941.184508   -3.86430544e+13   -1.01351196e-06
12.0276   2.62197641e+30   1.39989798   2.31915105e+12   -0.663858064   1.52378758   0.0013839044   395.71987   143.447463   40   39.9994204   0.00013988728   0.000882240493   941.171735   -3.84139642e+13   -1.00986821e-06
12.028225   2.59372325e+30   1.3998993   2.29521389e+12   -0.663867098   1.52374686   0.00136964042   393.413035   143.347835   40   39.9994243   0.000139257248   0.000870582785   941.158963   -3.81850304e+13   -1.00623944e-06
12.02885   2.56576599e+30   1.3999006   2.27141976e+12   -0.663876131   1.52370614   0.00135546146   391.103382   143.248822   40   39.9994282   0.00013862948   0.000858996738   941.14619   -3.79562431e+13   -1.00262543e-06
12.029475   2.53810282e+30   1.39990189   2.24776858e+12   -0.663885164   1.52366542   0.0013413675   388.790999   143.150428   40   39.999432   0.000138003966   0.000847482367   941.133419   -3.77275924e+13   -9.99025934e-07
12.0301   2.5107319e+30   1.39990317   2.22426027e+12   -0.663894195   1.52362469   0.00132735847   386.475973   143.052657   40   39.9994359   0.000137380698   0.00083603969   941.120648   -3.74990683e+13   -9.9544072e-07
12.030725   2.4836514e+30   1.39990443   2.20089475e+12   -0.663903225   1.52358397   0.00131343434   384.158394   142.95551   40   39.9994398   0.000136759666   0.000824668729   941.107878   -3.72706608e+13   -9.91869537e-07
12.03135   2.4568595e+30   1.39990569   2.17767195e+12   -0.663912254   1.52354324   0.00129959506   381.838355   142.858993   40   39.9994437   0.000136140861   0.000813369509   941.095109   -3.70423596e+13   -9.88312126e-07
12.031975   2.43035439e+30   1.39990693   2.1545918e+12   -0.663921283   1.52350252   0.0012858406   379.515949   142.763108   40   39.9994475   0.000135524275   0.000802142061   941.082342   -3.68141546e+13   -9.84768224e-07
12.0326   2.40413423e+30   1.39990815   2.13165425e+12   -0.66393031   1.52346179   0.00127217093   377.191273   142.667857   40   39.9994514   0.000134909901   0.000790986417   941.069575   -3.65860356e+13   -9.81237559e-07
12.033225   2.37819722e+30   1.39990936   2.10885925e+12   -0.663939336   1.52342106   0.00125858601   374.864424   142.573244   40   39.9994553   0.000134297728   0.000779902616   941.05681   -3.63579924e+13   -9.77719853e-07
12.03385   2.35254152e+30   1.39991056   2.08620676e+12   -0.663948361   1.52338033   0.00124508583   372.535502   142.47927   40   39.9994591   0.000133687751   0.000768890698   941.044046   -3.61300149e+13   -9.74214823e-07
12.034475   2.32716533e+30   1.39991175   2.06369674e+12   -0.663957384   1.5233396   0.00123167037   370.20461   142.385938   40   39.999463   0.00013307996   0.000757950707   941.031283   -3.5902093e+13   -9.70722177e-07
12.0351   2.30206683e+30   1.39991292   2.04132915e+12   -0.663966407   1.52329887   0.0012183396   367.871852   142.29325   40   39.9994669   0.000132474348   0.000747082693   941.018523   -3.56742166e+13   -9.67241618e-07
12.035725   2.27724421e+30   1.39991409   2.01910396e+12   -0.663975429   1.52325814   0.00120509351   365.537335   142.201206   40   39.9994707   0.000131870908   0.000736286708   941.005764   -3.54463759e+13   -9.63772846e-07
12.03635   2.25269564e+30   1.39991523   1.99702118e+12   -0.66398445   1.5232174   0.00119193209   363.201168   142.109809   40   39.9994746   0.000131269632   0.000725562808   940.993008   -3.5218561e+13   -9.60315552e-07
12.036975   2.22841933e+30   1.39991637   1.97508076e+12   -0.66399347   1.52317667   0.00117885534   360.863461   142.01906   40   39.9994784   0.000130670513   0.000714911053   940.980253   -3.49907624e+13   -9.56869425e-07
12.0376   2.20441345e+30   1.39991749   1.95328272e+12   -0.664002488   1.52313594   0.00116586326   358.524328   141.928958   40   39.9994823   0.000130073545   0.000704331507   940.967501   -3.47629705e+13   -9.53434149e-07
12.038225   2.18067619e+30   1.39991861   1.93162705e+12   -0.664011506   1.5230952   0.00115295584   356.183884   141.839505   40   39.9994861   0.000129478721   0.000693824237   940.954752   -3.45351761e+13   -9.50009405e-07
12.03885   2.15720575e+30   1.39991971   1.91011375e+12   -0.664020522   1.52305447   0.00114013309   353.842247   141.750699   40   39.99949   0.000128886033   0.000683389314   940.942005   -3.43073703e+13   -9.46594868e-07
12.039475   2.13400031e+30   1.39992079   1.88874284e+12   -0.664029538   1.52301373   0.00112739502   351.499537   141.662542   40   39.9994938   0.000128295477   0.000673026812   940.929261   -3.40795443e+13   -9.43190214e-07
12.0401   2.11105807e+30   1.39992187   1.86751432e+12   -0.664038552   1.52297299   0.00111474164   349.155877   141.575032   40   39.9994977   0.000127707046   0.000662736808   940.91652   -3.38516898e+13   -9.39795116e-07
12.040725   2.08837722e+30   1.39992293   1.84642823e+12   -0.664047566   1.52293226   0.00110217296   346.811392   141.488168   40   39.9995015   0.000127120733   0.000652519385   940.903782   -3.36237986e+13   -9.36409245e-07
